Product_Name,Brand,Model,RAM,Storage,Color,Screen_Size,Battery,Main_Camera,Charging,Original_Price,Price,Discount_Percentage,Reviews,In_Stock
Motorola Moto G60,Motorola,Moto G60,12GB,1TB,Nebula Blue,6.9,5340mAh,171MP,100W,24000,20870,13.04,"Exceeds expectations! performance is fantastic. Not satisfied with the display. It could be better A balanced experience overall, but camera lacks wow factor. Superb battery life! Makes everything better. Worth every penny! camera is top-notch Meets expectations, but performance is unremarkable. Phenomenal performance! performance is flawless. The performance is below par. Definitely not worth it. The display is below par. Definitely not worth it. Phenomenal performance! display is flawless.",TRUE
Nothing Phone (2a),Nothing,Phone (2a),8GB,128GB,White,6.7,4468mAh,73MP,80W,38000,35070,7.71,"Not bad, but battery life could use some refinement. Not impressed display doesn't meet the standards. Not impressed performance is okay. I love it A balanced experience overall, but performance lacks wow factor. Fair performance for the price. display is acceptable. The display is neither here nor there. Not worth the price Mediocre camera. Could have been better. Very poor performance. Would not recommend. Mediocre performance. Could have been better. Highly impressed with the performance. Great job!",TRUE
Xiaomi Xiaomi 13 Ultra,Xiaomi,Xiaomi 13 Ultra,12GB,128GB,Red,6.6,4049mAh,112MP,45W,41000,34980,14.68,"Unacceptable display. It ruins the overall experience. performance is disappointing. I love it The display is below par. Definitely not worth it. Decent performance for the price. camera is fine. Not bad, but performance could use some refinement. I love it Mediocre display. Could have been better. Phenomenal performance! performance is flawless. Mediocre display. Could have been better. The performance is below par. Definitely not worth it. The performance is frustrating to deal with. It could be better",FALSE
Realme 11 Pro,Realme,11 Pro,6GB,1TB,Dawn White,6.3,4739mAh,118MP,45W,21000,19430,7.48,"Highly impressed with the performance. Great job! Amazing camera. Highly recommended Absolutely love the build quality. Highly recommend! A balanced experience overall, but camera lacks wow factor. Not satisfied with the battery life. Not impressed battery life is okay. I love it build quality doesn't meet the standards. I love it Phenomenal performance! camera is flawless. A perfect balance of battery life and quality. Highly recommended Unacceptable build quality. It ruins the overall experience.",FALSE
Apple iPhone 14 Pro Max,Apple,iPhone 14 Pro Max,6GB,512GB,White Titanium,6.8,5140mAh,83MP,65W,154000,140810,8.56,"Major flaws with the build quality. Needs urgent improvement. Really impressed with the camera. Not worth the price Terrible camera! Extremely dissatisfied. Satisfactory performance, but nothing extraordinary. Decent performance for the price. battery life is fine. display is okay. I love it Fair performance for the price. performance is acceptable. A perfect balance of display and quality. Not worth the price Superb camera! Makes everything better. Terrible performance! Extremely dissatisfied.",FALSE
Samsung Galaxy A34 5G,Samsung,Galaxy A34 5G,8GB,512GB,Phantom Black,6.3,5342mAh,92MP,80W,82000,74480,9.17,"Phenomenal performance! battery life is flawless. camera could use a lot of improvement. I love it Exceptional build quality. Definitely worth the price. Very poor display. Would not recommend. A perfect balance of build quality and quality. Not impressed Mediocre camera. Could have been better. Good value for money, but camera is average. Amazing display. Not impressed A balanced experience overall, but performance lacks wow factor. Absolutely love the build quality. Highly recommend!",FALSE
iQOO 12 Pro,iQOO,12 Pro,16GB,128GB,Beta,6.5,4756mAh,177MP,45W,23000,19910,13.43,"Exceptional performance. Definitely worth the price. Not bad, but battery life could use some refinement. Not worth the price Major flaws with the display. Needs urgent improvement. Mediocre build quality. Could have been better. A perfect balance of build quality and quality. It could be better Terrible build quality! Extremely dissatisfied. performance could use a lot of improvement. It could be better build quality is disappointing. Not worth the price Phenomenal performance! performance is flawless. The display is neither here nor there. I love it",FALSE
Samsung Galaxy S24,Samsung,Galaxy S24,8GB,128GB,Titanium Violet,6.2,4064mAh,83MP,25W,149000,133580,10.35,"Decent performance for the price. battery life is fine. Absolutely love the camera. Highly recommend! Major flaws with the battery life. Needs urgent improvement. Very poor camera. Would not recommend. Phenomenal performance! display is flawless. Not bad, but performance could use some refinement. Not worth the price Very poor build quality. Would not recommend. Superb camera! Makes everything better. Good value for money, but display is average. Worth every penny! battery life is top-notch",FALSE
Motorola Moto Edge+,Motorola,Moto Edge+,8GB,256GB,Magenta,6.3,4117mAh,80MP,100W,24000,20790,13.38,"performance could use a lot of improvement. Not worth the price Not bad, but camera could use some refinement. It could be better Exceptional camera. Definitely worth the price. Exceptional performance. Definitely worth the price. Phenomenal performance! build quality is flawless. The camera is below par. Definitely not worth it. build quality doesn't meet the standards. It could be better Mediocre display. Could have been better. Amazing performance. I love it Not satisfied with the performance. It could be better",TRUE
LG V50 ThinQ,LG,V50 ThinQ,12GB,1TB,Aurora Black,6.6,5002mAh,141MP,65W,32000,27290,14.72,"Decent performance for the price. build quality is fine. The battery life is frustrating to deal with. Highly recommended A balanced experience overall, but build quality lacks wow factor. The camera is frustrating to deal with. It could be better Terrible build quality! Extremely dissatisfied. A perfect balance of build quality and quality. Not worth the price Decent performance for the price. camera is fine. Not bad, but battery life could use some refinement. It could be better Good value for money, but display is average. Really impressed with the display. It could be better",TRUE
Asus Zenfone 8 Flip,Asus,Zenfone 8 Flip,16GB,256GB,Sunset Red,6.6,4604mAh,98MP,33W,21000,18850,10.24,"Not satisfied with the display. Highly recommended Highly impressed with the display. Great job! The display is neither here nor there. Not worth the price Absolutely love the camera. Highly recommend! battery life could use a lot of improvement. Not worth the price Really impressed with the performance. Not worth the price Absolutely love the build quality. Highly recommend! Satisfactory display, but nothing extraordinary. A perfect balance of build quality and quality. Highly recommended Phenomenal performance! camera is flawless.",TRUE
Apple iPhone 14 Pro Max,Apple,iPhone 14 Pro Max,12GB,256GB,Gold,6.3,4756mAh,106MP,80W,76000,69110,9.07,"battery life is disappointing. Not worth the price Satisfactory performance, but nothing extraordinary. Fair performance for the price. battery life is acceptable. Superb performance! Makes everything better. Not satisfied with the build quality. Not impressed Absolutely love the battery life. Highly recommend! Terrible build quality! Extremely dissatisfied. Terrible build quality! Extremely dissatisfied. Terrible display! Extremely dissatisfied. Mediocre performance. Could have been better.",FALSE
OPPO F25,OPPO,F25,16GB,256GB,Starlit Black,6.3,4555mAh,187MP,33W,16000,13750,14.06,"Not bad, but performance could use some refinement. Highly recommended Satisfactory performance, but nothing extraordinary. battery life is disappointing. Not impressed The build quality is below par. Definitely not worth it. Unacceptable performance. It ruins the overall experience. Major flaws with the camera. Needs urgent improvement. Satisfactory performance, but nothing extraordinary. The battery life is frustrating to deal with. Not impressed Phenomenal performance! performance is flawless. Phenomenal performance! build quality is flawless.",TRUE
OPPO OPPO F21 Pro,OPPO,OPPO F21 Pro,8GB,128GB,Pearl White,6.4,5364mAh,100MP,65W,20000,18360,8.2,"Mediocre camera. Could have been better. Terrible camera! Extremely dissatisfied. Amazing performance. It could be better Absolutely love the battery life. Highly recommend! Mediocre camera. Could have been better. Terrible battery life! Extremely dissatisfied. Mediocre performance. Could have been better. battery life could use a lot of improvement. Not worth the price Exceptional display. Definitely worth the price. A balanced experience overall, but build quality lacks wow factor.",TRUE
iQOO 12 Pro,iQOO,12 Pro,16GB,128GB,Legend,6.3,4638mAh,63MP,33W,37000,32060,13.35,"Amazing battery life. Not impressed Not satisfied with the battery life. It could be better Very poor battery life. Would not recommend. Mediocre performance. Could have been better. Highly impressed with the display. Great job! Exceeds expectations! build quality is fantastic. The build quality is below par. Definitely not worth it. The performance is below par. Definitely not worth it. Really impressed with the battery life. Highly recommended Satisfactory performance, but nothing extraordinary.",TRUE
Vivo V29,Vivo,V29,16GB,1TB,Astral Blue,6.2,5188mAh,126MP,65W,37000,30770,16.84,The performance is neither here nor there. Highly recommended Fair performance for the price. battery life is acceptable. camera is disappointing. Highly recommended The camera is below par. Definitely not worth it. Major flaws with the performance. Needs urgent improvement. battery life is disappointing. Not worth the price Major flaws with the performance. Needs urgent improvement. The camera is frustrating to deal with. Not worth the price Really impressed with the battery life. Highly recommended Amazing battery life. Not impressed,FALSE
OnePlus Nord 3,OnePlus,Nord 3,12GB,2TB,Cool Blue,6.6,5077mAh,110MP,33W,47000,42030,10.57,"Really impressed with the display. Not worth the price Major flaws with the build quality. Needs urgent improvement. A perfect balance of camera and quality. Not worth the price Terrible performance! Extremely dissatisfied. Worth every penny! display is top-notch Good value for money, but display is average. Really impressed with the performance. It could be better Good value for money, but battery life is average. Exceptional display. Definitely worth the price. Satisfactory performance, but nothing extraordinary.",FALSE
Google Pixel 6a,Google,Pixel 6a,12GB,1TB,Porcelain,6.7,4925mAh,107MP,25W,67000,57340,14.42,Not satisfied with the performance. Not worth the price Very poor display. Would not recommend. The battery life is neither here nor there. Not worth the price Terrible build quality! Extremely dissatisfied. The build quality is neither here nor there. I love it Worth every penny! build quality is top-notch Absolutely love the performance. Highly recommend! Highly impressed with the battery life. Great job! Fair performance for the price. performance is acceptable. A perfect balance of performance and quality. Highly recommended,TRUE
Huawei Nova 10,Huawei,Nova 10,16GB,128GB,Emerald Green,6.8,4887mAh,74MP,25W,22000,19300,12.27,"A perfect balance of battery life and quality. I love it battery life doesn't meet the standards. I love it Phenomenal performance! display is flawless. Fair performance for the price. battery life is acceptable. Worth every penny! build quality is top-notch Not bad, but camera could use some refinement. I love it A balanced experience overall, but camera lacks wow factor. The camera is neither here nor there. Not impressed battery life is disappointing. Not worth the price Not satisfied with the build quality. Not worth the price",FALSE
Realme 11 Pro+,Realme,11 Pro+,12GB,512GB,Cosmic Black,6.4,5496mAh,161MP,65W,37000,32030,13.43,"Highly impressed with the camera. Great job! display is okay. I love it Very poor build quality. Would not recommend. Good value for money, but battery life is average. Good value for money, but camera is average. Mediocre display. Could have been better. Major flaws with the battery life. Needs urgent improvement. Mediocre camera. Could have been better. Terrible build quality! Extremely dissatisfied. Superb performance! Makes everything better.",FALSE
Asus ROG Phone 7,Asus,ROG Phone 7,8GB,512GB,Sunset Red,6.6,4515mAh,198MP,65W,23000,20910,9.09,"battery life is okay. Not worth the price Good value for money, but build quality is average. Unacceptable build quality. It ruins the overall experience. Unacceptable battery life. It ruins the overall experience. Mediocre battery life. Could have been better. A balanced experience overall, but display lacks wow factor. The camera is neither here nor there. I love it Fair performance for the price. performance is acceptable. The build quality is frustrating to deal with. It could be better Absolutely love the camera. Highly recommend!",FALSE
Nothing Phone (2a),Nothing,Phone (2a),6GB,512GB,Light Grey,6.8,4008mAh,167MP,100W,65000,55220,15.05,"build quality could use a lot of improvement. Not worth the price Exceeds expectations! display is fantastic. Absolutely love the build quality. Highly recommend! Mediocre camera. Could have been better. performance doesn't meet the standards. Not impressed Really impressed with the display. Not impressed Unacceptable display. It ruins the overall experience. Major flaws with the build quality. Needs urgent improvement. Not satisfied with the build quality. Highly recommended Meets expectations, but display is unremarkable.",FALSE
iQOO iQOO 11,iQOO,iQOO 11,6GB,1TB,Beta,6.3,4398mAh,55MP,25W,27000,23020,14.74,Really impressed with the camera. Not impressed A perfect balance of build quality and quality. It could be better Superb display! Makes everything better. Very poor display. Would not recommend. Absolutely love the build quality. Highly recommend! Superb display! Makes everything better. performance is disappointing. Not impressed Amazing build quality. I love it battery life could use a lot of improvement. Highly recommended build quality doesn't meet the standards. It could be better,FALSE
Apple iPhone 15 Pro,Apple,iPhone 15 Pro,12GB,2TB,Natural Titanium,6.8,5299mAh,48MP,33W,176000,154030,12.48,"Not satisfied with the performance. I love it Satisfactory display, but nothing extraordinary. The battery life is frustrating to deal with. Highly recommended Good value for money, but build quality is average. Highly impressed with the performance. Great job! performance doesn't meet the standards. It could be better Not bad, but display could use some refinement. Highly recommended A balanced experience overall, but battery life lacks wow factor. Worth every penny! build quality is top-notch Good value for money, but camera is average.",FALSE
Apple iPhone 14 Pro Max,Apple,iPhone 14 Pro Max,6GB,2TB,Blue Titanium,6.8,4647mAh,140MP,80W,177000,157510,11.01,"Superb build quality! Makes everything better. Very poor camera. Would not recommend. Superb build quality! Makes everything better. Unacceptable build quality. It ruins the overall experience. Exceeds expectations! display is fantastic. camera doesn't meet the standards. It could be better Very poor camera. Would not recommend. display is okay. It could be better Absolutely love the performance. Highly recommend! Not bad, but battery life could use some refinement. Not impressed",TRUE
OPPO Reno 11 Pro,OPPO,Reno 11 Pro,8GB,2TB,Glowing Green,6.8,5467mAh,198MP,33W,22000,19110,13.14,Terrible camera! Extremely dissatisfied. Very poor camera. Would not recommend. Not satisfied with the display. Not impressed Unacceptable performance. It ruins the overall experience. Mediocre camera. Could have been better. The battery life is frustrating to deal with. I love it performance could use a lot of improvement. Not worth the price Major flaws with the build quality. Needs urgent improvement. camera doesn't meet the standards. It could be better Mediocre performance. Could have been better.,TRUE
Google Pixel 6a,Google,Pixel 6a,8GB,128GB,Bay Blue,6.1,5196mAh,121MP,65W,46000,40250,12.5,"Decent performance for the price. camera is fine. Very poor build quality. Would not recommend. Exceptional camera. Definitely worth the price. Terrible display! Extremely dissatisfied. Good value for money, but battery life is average. Really impressed with the build quality. Not impressed Terrible battery life! Extremely dissatisfied. Highly impressed with the camera. Great job! Highly impressed with the battery life. Great job! display is okay. It could be better",FALSE
OnePlus 12,OnePlus,12,6GB,512GB,Flowy Emerald,6.2,4444mAh,154MP,100W,43000,38140,11.3,"Fair performance for the price. camera is acceptable. Really impressed with the performance. Not worth the price A balanced experience overall, but camera lacks wow factor. Really impressed with the display. It could be better display is okay. Highly recommended camera is disappointing. Highly recommended Terrible camera! Extremely dissatisfied. Not satisfied with the display. It could be better Mediocre performance. Could have been better. Not satisfied with the display. Not impressed",FALSE
Sony Xperia 10 V,Sony,Xperia 10 V,6GB,512GB,Midnight Blue,6.4,4901mAh,129MP,33W,33000,28650,13.18,"Not satisfied with the performance. Not worth the price Phenomenal performance! performance is flawless. Worth every penny! build quality is top-notch Amazing camera. Highly recommended Not bad, but build quality could use some refinement. I love it Decent performance for the price. performance is fine. Unacceptable display. It ruins the overall experience. Superb camera! Makes everything better. Meets expectations, but display is unremarkable. Amazing build quality. Not worth the price",TRUE
Sony Xperia 1 IV,Sony,Xperia 1 IV,8GB,128GB,Midnight Blue,6.2,5396mAh,114MP,80W,39000,35330,9.41,"Fair performance for the price. camera is acceptable. The camera is neither here nor there. Not impressed Worth every penny! camera is top-notch Superb camera! Makes everything better. Satisfactory display, but nothing extraordinary. Mediocre build quality. Could have been better. The build quality is frustrating to deal with. Not impressed Fair performance for the price. display is acceptable. Not bad, but build quality could use some refinement. I love it The display is frustrating to deal with. Highly recommended",TRUE
Samsung Galaxy A54 5G,Samsung,Galaxy A54 5G,8GB,256GB,Titanium Violet,6.5,5257mAh,83MP,65W,132000,118060,10.56,"Major flaws with the performance. Needs urgent improvement. Not satisfied with the performance. I love it Terrible battery life! Extremely dissatisfied. Absolutely love the build quality. Highly recommend! Meets expectations, but performance is unremarkable. A perfect balance of build quality and quality. Not worth the price The display is neither here nor there. Highly recommended Absolutely love the display. Highly recommend! Not satisfied with the battery life. Not worth the price Unacceptable display. It ruins the overall experience.",TRUE
OnePlus 11,OnePlus,11,12GB,512GB,Flowy Emerald,6.5,4221mAh,89MP,33W,57000,51350,9.91,"Mediocre display. Could have been better. Not satisfied with the build quality. Highly recommended build quality could use a lot of improvement. I love it Good value for money, but camera is average. Superb build quality! Makes everything better. Mediocre display. Could have been better. A balanced experience overall, but performance lacks wow factor. Not satisfied with the battery life. It could be better Major flaws with the display. Needs urgent improvement. Mediocre performance. Could have been better.",TRUE
Apple iPhone 15 Pro,Apple,iPhone 15 Pro,6GB,256GB,White Titanium,6.2,4802mAh,168MP,65W,87000,74170,14.75,"Satisfactory battery life, but nothing extraordinary. Not satisfied with the battery life. It could be better display is okay. I love it The performance is below par. Definitely not worth it. Phenomenal performance! performance is flawless. build quality is okay. Not worth the price build quality is disappointing. Not worth the price Amazing display. I love it Not satisfied with the camera. I love it Mediocre camera. Could have been better.",FALSE
Motorola Moto G Power,Motorola,Moto G Power,16GB,512GB,Nebula Blue,6.3,4336mAh,170MP,65W,32000,26800,16.25,"Meets expectations, but build quality is unremarkable. The display is frustrating to deal with. I love it Meets expectations, but display is unremarkable. Major flaws with the performance. Needs urgent improvement. Unacceptable battery life. It ruins the overall experience. Unacceptable battery life. It ruins the overall experience. Very poor build quality. Would not recommend. display could use a lot of improvement. It could be better The battery life is frustrating to deal with. Highly recommended battery life is okay. I love it",TRUE
LG G8X ThinQ,LG,G8X ThinQ,16GB,128GB,Shiny Blue,6.8,4272mAh,143MP,25W,39000,32430,16.85,Very poor battery life. Would not recommend. The camera is below par. Definitely not worth it. Fair performance for the price. performance is acceptable. Amazing display. Not worth the price build quality doesn't meet the standards. Not impressed camera is okay. I love it Absolutely love the build quality. Highly recommend! Phenomenal performance! performance is flawless. Not satisfied with the performance. It could be better Superb build quality! Makes everything better.,TRUE
Sony Xperia 10 V,Sony,Xperia 10 V,16GB,512GB,Platinum Silver,6.6,5075mAh,68MP,100W,20000,17990,10.05,"Meets expectations, but camera is unremarkable. performance is okay. Highly recommended The performance is neither here nor there. Highly recommended Not bad, but display could use some refinement. It could be better Very poor camera. Would not recommend. Absolutely love the build quality. Highly recommend! Fair performance for the price. battery life is acceptable. Meets expectations, but battery life is unremarkable. Absolutely love the performance. Highly recommend! Phenomenal performance! battery life is flawless.",TRUE
Motorola Moto G84,Motorola,Moto G84,12GB,128GB,Deep Green,6.9,4840mAh,154MP,65W,38000,31860,16.16,Exceptional camera. Definitely worth the price. camera doesn't meet the standards. I love it A perfect balance of camera and quality. It could be better battery life could use a lot of improvement. Not worth the price The display is frustrating to deal with. Not impressed Major flaws with the camera. Needs urgent improvement. The performance is below par. Definitely not worth it. Really impressed with the camera. Highly recommended Major flaws with the performance. Needs urgent improvement. The battery life is neither here nor there. Not worth the price,FALSE
OnePlus Nord CE 2 Lite,OnePlus,Nord CE 2 Lite,6GB,2TB,Flowy Emerald,6.7,4604mAh,150MP,45W,67000,60670,9.45,"Mediocre performance. Could have been better. Terrible camera! Extremely dissatisfied. battery life could use a lot of improvement. I love it Highly impressed with the display. Great job! Terrible build quality! Extremely dissatisfied. Not bad, but battery life could use some refinement. It could be better Not bad, but display could use some refinement. Highly recommended Exceeds expectations! performance is fantastic. Meets expectations, but battery life is unremarkable. Phenomenal performance! display is flawless.",FALSE
Google Pixel 6a,Google,Pixel 6a,8GB,256GB,Kinda Coral,6.9,4484mAh,161MP,80W,65000,55800,14.15,"Worth every penny! build quality is top-notch performance is okay. Highly recommended build quality doesn't meet the standards. I love it Phenomenal performance! build quality is flawless. The display is below par. Definitely not worth it. camera could use a lot of improvement. Highly recommended Amazing build quality. Not impressed Unacceptable display. It ruins the overall experience. Really impressed with the camera. Not impressed Not bad, but battery life could use some refinement. I love it",TRUE
Vivo Vivo X90 Pro,Vivo,Vivo X90 Pro,12GB,1TB,Sunrise Gold,6.4,4846mAh,92MP,25W,21000,18450,12.14,"Good value for money, but performance is average. The battery life is below par. Definitely not worth it. battery life is disappointing. I love it Exceeds expectations! build quality is fantastic. Satisfactory performance, but nothing extraordinary. Meets expectations, but build quality is unremarkable. Highly impressed with the camera. Great job! Superb battery life! Makes everything better. Unacceptable display. It ruins the overall experience. Fair performance for the price. camera is acceptable.",TRUE
Realme 11x,Realme,11x,8GB,256GB,Submarine Blue,6.4,5328mAh,124MP,33W,21000,18210,13.29,"build quality is okay. It could be better Phenomenal performance! camera is flawless. camera is disappointing. Not worth the price Amazing display. Not worth the price performance is okay. Not impressed Not bad, but camera could use some refinement. It could be better Mediocre performance. Could have been better. Meets expectations, but performance is unremarkable. A balanced experience overall, but build quality lacks wow factor. display is okay. I love it",TRUE
